appliance_type,appliance_power_watts,usage_hours,temperature_c,room_size_m2,number_of_people,time_of_day,day_type,previous_consumption_kwh,energy_consumption_kwh
washing machine,679,2.5,30,24,3,Afternoon,weekday,1.91,1.94
refrigerator,189W,24.0,25,33,3, EVENING ,Weekday,?,4.25
refrigerator,250,24.0,29,31,5,Night,Weekday,6.13,5.89
TV,207,2.5,31,53,4,Morning,weekday,0.89,0.64
heater ,1566,3.9,5,13,1,Night,WEEKEND,7.36,7.67
Heater,1674,4.8,6,missing,missing,Night,Weekend,9.02,8.69
Washing Machine,503,99.0,27,13,6,Night,Weekend,0.1,0.28
washing machine,689,3.2,25,30,5,Afternoon,weekday,2.59,2.27
Microwave,1187,0.2,29,54,1,Morning,weekday,0.1,0.18
Heater,1562,3.6,14,26,,Evening,Weekday,6.8,6.75
TV,60,2.5,29,16,1,Afternoon ,weekday,0.47,0.11
Microwave,1103,1.6,23,36,3,Morning,weekday,1.68,1.87
Air Conditioner,1704,3.4,37,23,3,Afternoon,WEEKEND,7.88,8.31
 Refrigerator ,250,24.0,24,54,?,morning,WEEKEND,6.59,6.55
air conditioner,1985,5.6,39,11,2,morning,Weekend,13.8,13.7
Microwave,1107,0.2,29,29,unknown,Afternoon ,WEEKEND,0.67,0.45
Air Conditioner,1820,5.7,38,22,1,Evening,weekday,12.13,12.5
refrigerator,140W,24.0,27,53,3, EVENING ,WEEKEND,3.97,3.92
Air Conditioner,1761,7.1,28,21,6,morning,Weekday,14.24,14.26
washing machine,628,2.3,20,11,5,Night,Weekend,1.97,1.74
 TV ,154,4.9,23,33,unknown,Evening,weekday,0.71,1.01
air conditioner,2047,4.4,39,45,3,Afternoon,weekday,missing,11.87
washing machine,551,2.5,26,42,2,Morning,Weekday,1.54,1.48
TV,118,2.6,24,25,2,Morning,WEEKEND,0.33,0.27
Microwave,1196,0.2,22,41,3,Evening,WEEKEND,0.3,0.27
Washing Machine,569,1.6,18,33,4,Evening,Weekday,0.82,1.03
AC,1827,7.5,41,27,2,Morning,WEEKEND,17.91,18.2
refrigerator,137,24.0,21,17,3,Morning,WEEKEND,3.29,3.55
air conditioner,2018,5.1,33,39,6, EVENING ,Weekday,13.55,13.56
 TV ,30,4.4,31,42,4,Night,Weekday,1.08,0.24
Air Conditioner,1716,6.0,39,37,6,morning,Weekend,?,13.21
heater ,1436,6.6,11,N/A,1,Night,Weekday,11.74,11.81
washing machine,660,1.5,20,27,1,Afternoon,weekday,1.27,0.85
 TV ,139,3.9,27,26,1,Afternoon ,Weekday,0.26,0.46
AC,1852,4.8,35,22,?,Afternoon,weekday,11.81,11.81
Air Conditioner,1707,5.7,41,25,6,Night,Weekend,13.39,13.34
Washing Machine,500,0.6,26,31,2,Afternoon,Weekend,0.1,0.31
refrigerator,97,24.0,22,53,4,morning,weekday,3.44,2.89
washing machine,667,1.9,21,25,5,Evening,WEEKEND,,1.36
TV,136,4.8,31,32,N/A,Night,Weekday,0.43,0.53
Washing Machine,497,1.9,26,49,5, EVENING ,Weekday,?,1.24
air conditioner,1985,4.5,36,38,6,Night,Weekday,11.24,11.42
 Refrigerator ,296,24.0,29,25,2,Afternoon,WEEKEND,missing,6.79
refrigerator,112W,24.0,27,19,6,morning,WEEKEND,?,2.86
TV,166,5.9,27,N/A,1,Afternoon ,Weekend,0.98,0.96
 TV ,93W,3.1,25,21,2,Evening,WEEKEND,0.21,0.29
 TV ,110,3.8,29,12,1,Morning,Weekend,0.62,0.35
TV,181,3.5,20,50,4,Afternoon,Weekday,missing,0.76
Heater,1663,4.2,12,30,5,Morning,WEEKEND,7.19,7.73
washing machine,595,0.8,25,32,6,morning,WEEKEND,,0.76
heater ,1498,4.2,12,39,1,Morning,Weekend,,9.08
 Refrigerator ,239,24.0,30,50,missing,Night,Weekday,5.75,5.65
 Refrigerator ,182,24.0,27,25,5,morning,weekday,4.81,4.47
refrigerator,142,24.0,24,25,1,Afternoon ,Weekday,4.03,3.93
 TV ,155,5.2,29,18,2,Afternoon,WEEKEND,0.83,0.81
Heater,1669,5.0,12,36,missing, EVENING ,weekday,?,8.43
Washing Machine,594,1.7,24,34,5,Night,WEEKEND,1.03,1.09
Microwave,1181,0.2,24,36,2,Night,Weekend,0.34,0.24
Air Conditioner,1830,5.2,40,37,6,Morning,weekday,11.94,11.95
Air Conditioner,1865,6.2,32,15,2,morning,WEEKEND,12.52,12.38
AC,1746,6.6,36,23,1,morning,Weekend,14.26,14.2
heater ,1411,6.7,13,,6,Afternoon,WEEKEND,9.46,9.82
Microwave,1177,2.0,29,37,5,Morning,WEEKEND,2.23,2.12
